Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,FJ8068404064604,Intel,Core i5-8265U,203,62.8,13182,https://cpu.userbenchmark.com/SpeedTest/566107/IntelR-CoreTM-i5-8265U-CPU---160GHz
CPU,BX80623I72600K,Intel,Core i7-2600K,204,62.7,87254,https://cpu.userbenchmark.com/Intel-Core-i7-2600K/Rating/621
CPU,,Intel,Core i7-8650U,205,62.7,18619,https://cpu.userbenchmark.com/SpeedTest/353957/IntelR-CoreTM-i7-8650U-CPU---190GHz
CPU,BX80684G5600,Intel,Pentium Gold G5600,206,62.7,362,https://cpu.userbenchmark.com/SpeedTest/469126/IntelR-PentiumR-Gold-G5600-CPU---390GHz
CPU,,Intel,Core i7-4930MX,207,62.5,750,https://cpu.userbenchmark.com/SpeedTest/2453/IntelR-CoreTM-i7-4930MX-CPU---300GHz
CPU,,Intel,Xeon E3-1240 V2,208,62.4,1995,https://cpu.userbenchmark.com/SpeedTest/5484/IntelR-XeonR-CPU-E3-1240-V2---340GHz
CPU,,Intel,Xeon E3-1245 V2,209,62.4,751,https://cpu.userbenchmark.com/SpeedTest/5622/IntelR-XeonR-CPU-E3-1245-V2---340GHz
CPU,,Intel,Core i7-3820,210,62.3,25693,https://cpu.userbenchmark.com/SpeedTest/739/IntelR-CoreTM-i7-3820-CPU---360GHz
CPU,,AMD,Ryzen 5 2600H,211,62.2,90,https://cpu.userbenchmark.com/SpeedTest/617618/AMD-Ryzen-5-2600H-with-Radeon-Vega-Graphics
CPU,,AMD,Ryzen 7 2800H,212,62.2,22,https://cpu.userbenchmark.com/SpeedTest/667422/AMD-Ryzen-7-2800H-with-Radeon-Vega-Graphics
CPU,,Intel,Xeon W3690,213,62.2,2431,https://cpu.userbenchmark.com/SpeedTest/9677/IntelR-XeonR-CPU-----------W3690----347GHz
CPU,CM8068403377415,Intel,Core i3-8100T,214,62,499,https://cpu.userbenchmark.com/SpeedTest/509371/IntelR-CoreTM-i3-8100T-CPU---310GHz
CPU,BX80677I57500T,Intel,Core i5-7500T,215,62,2109,https://cpu.userbenchmark.com/SpeedTest/218898/IntelR-CoreTM-i5-7500T-CPU---270GHz
CPU,BX80662I36320,Intel,Core i3-6320,216,61.8,1038,https://cpu.userbenchmark.com/Intel-Core-i3-6320/Rating/3535
CPU,,Intel,Xeon E3-1220 v3,217,61.8,1767,https://cpu.userbenchmark.com/SpeedTest/5983/IntelR-XeonR-CPU-E3-1220-v3---310GHz
CPU,,Intel,Core i7-5700HQ,218,61.7,8677,https://cpu.userbenchmark.com/SpeedTest/30103/IntelR-CoreTM-i7-5700HQ-CPU---270GHz
CPU,YD1200BBAEBOX,AMD,Ryzen 3 1200,219,61.7,40028,https://cpu.userbenchmark.com/AMD-Ryzen-3-1200/Rating/3931
CPU,,Intel,Core i7-7700HQ,220,61.7,275461,https://cpu.userbenchmark.com/SpeedTest/211019/IntelR-CoreTM-i7-7700HQ-CPU---280GHz
CPU,,Intel,Core i7 X 990,221,61.6,2546,https://cpu.userbenchmark.com/SpeedTest/2590/IntelR-CoreTM-i7-CPU-------X-990----347GHz
CPU,,Intel,Core i5-4570S,222,61.6,4350,https://cpu.userbenchmark.com/SpeedTest/5965/IntelR-CoreTM-i5-4570S-CPU---290GHz
CPU,,Intel,Core i7-6920HQ,223,61.5,1329,https://cpu.userbenchmark.com/SpeedTest/56225/IntelR-CoreTM-i7-6920HQ-CPU---290GHz
CPU,,Intel,Xeon E5-2687W 0,224,61.5,420,https://cpu.userbenchmark.com/SpeedTest/8860/IntelR-XeonR-CPU-E5-2687W-0---310GHz
CPU,,Intel,Core i7-3770S,225,61.3,4687,https://cpu.userbenchmark.com/SpeedTest/2218/IntelR-CoreTM-i7-3770S-CPU---310GHz
CPU,,Intel,Xeon E3-1225 V2,226,61.2,1205,https://cpu.userbenchmark.com/SpeedTest/5015/IntelR-XeonR-CPU-E3-1225-V2---320GHz
CPU,,Intel,Core i7-6820HK,227,61,12220,https://cpu.userbenchmark.com/SpeedTest/36404/IntelR-CoreTM-i7-6820HK-CPU---270GHz
